date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:24	93077/93077	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/lightbox-plus-jquery.min.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/lightbox-plus-jquery.min.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:24	32688/32688	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/3.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/3.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:25	44064/44064	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/1.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/1.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:25	14718/14718	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/jarallax.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/jarallax.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:26	1330/1330	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/move-top.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/move-top.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:27	4758/4758	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/easing.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/easing.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:28	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Apr%202020%2015:31:30%20GMT	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.eot	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.eot	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/bootstrap.css)
20:31:28	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Apr%202020%2015:31:30%20GMT	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.eot?	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/bootstrap.css)
20:31:29	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.woff2	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.woff2	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/bootstrap.css)
20:31:30	23424/23424	---M--	200	added ('OK')	font/woff	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.woff	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/fonts/glyphicons-halflings-regular.woff	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/bootstrap.css)
